RK,Name,Team,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
191,Will Mallory,IND,TE,12,18,26,207,11.5,0,43,1,17.3,1,0,89,11
192,Justice Hill,BAL,RB,16,28,39,206,7.4,1,24,4,12.9,1,1,237,8
193,Kyren Williams,LAR,RB,12,32,48,206,6.4,3,24,2,17.2,1,1,277,9
194,Adam Trautman,DEN,TE,17,22,35,204,9.3,3,24,2,12.0,0,0,98,10
195,De'Von Achane,MIA,RB,11,27,37,197,7.3,3,23,2,17.9,0,0,262,10
196,Jake Bobo,SEA,WR,17,19,25,196,10.3,2,31,3,11.5,0,0,87,9
197,Tommy Tremble,CAR,TE,16,23,32,194,8.4,3,30,2,12.1,0,0,95,10
198,Foster Moreau,NO,TE,15,21,25,193,9.2,1,23,1,12.9,0,0,96,9
199,Devin Singletary,HOU,RB,17,30,38,193,6.4,0,41,2,11.4,0,0,217,7
200,Tyler Allgeier,ATL,RB,17,18,23,193,10.7,1,75,2,11.4,0,0,217,6
201,Jerick McKinnon,KC,RB,12,25,32,192,7.7,4,27,1,16.0,0,0,219,10
202,Zack Moss,IND,RB,14,27,37,192,7.1,2,26,1,13.7,0,0,189,10
203,Alexander Mattison,MIN,RB,16,30,44,192,6.4,3,47,1,12.0,1,0,181,5
204,Clyde Edwards-Helaire,KC,RB,15,17,22,188,11.1,1,48,3,12.5,0,0,228,7
205,Zach Ertz,ARI,TE,7,27,43,187,6.9,1,17,0,26.7,0,0,46,8
206,Dawson Knox,BUF,TE,13,22,36,186,8.5,2,17,0,14.3,0,0,96,13
207,Hayden Hurst,CAR,TE,9,18,32,184,10.2,1,48,1,20.4,0,0,67,7
208,Kenneth Gainwell,PHI,RB,16,30,37,183,6.1,0,19,0,11.4,0,0,175,11
209,Kyle Philips,TEN,WR,9,15,22,181,12.1,0,29,4,20.1,0,0,79,9
210,Gus Edwards,BAL,RB,17,12,13,180,15.0,0,80,2,10.6,1,0,145,5
211,Calvin Austin III,PIT,WR,17,17,30,180,10.6,1,72,1,10.6,0,0,73,7
212,Raheem Mostert,MIA,RB,15,25,32,175,7.0,3,22,1,11.7,2,0,213,6
213,Johnny Mundt,MIN,TE,17,17,23,172,10.1,1,32,2,10.1,0,0,94,8
214,Will Dissly,SEA,TE,16,17,22,172,10.1,1,21,2,10.8,0,0,120,8
215,Najee Harris,PIT,RB,17,29,38,170,5.9,0,32,1,10.0,0,0,175,9
