RK,Name,Team,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
362,Keith Smith,ATL,FB,13,3,3,33,11.0,0,28,1,2.5,0,0,15,1
363,Keelan Doss,LAC,WR,5,6,13,33,5.5,0,9,0,6.6,0,0,14,1
364,La'Mical Perine,KC,RB,5,3,5,33,11.0,0,25,1,6.6,0,0,32,1
365,Teagan Quitoriano,HOU,TE,7,2,3,33,16.5,0,22,1,4.7,0,0,18,2
366,Joshua Kelley,LAC,RB,17,8,12,32,4.0,0,6,0,1.9,0,0,39,0
367,Charlie Woerner,SF,TE,17,3,3,32,10.7,0,20,1,1.9,0,0,20,1
368,Kenyan Drake,GB,RB,3,2,3,31,15.5,0,24,1,10.3,1,1,36,0
369,Khalil Dorsey,DET,CB,13,1,1,31,31.0,0,31,1,2.4,0,0,9,1
370,Jordan Mason,SF,RB,17,3,4,31,10.3,0,13,0,1.8,0,0,23,1
371,Marcedes Lewis,CHI,TE,17,4,5,29,7.3,1,16,0,1.7,0,0,29,2
372,Austin Trammell,LAR,WR,16,4,7,29,7.3,0,14,0,1.8,0,0,35,2
373,Jalen Nailor,MIN,WR,6,3,6,29,9.7,0,16,0,4.8,0,0,21,1
374,Kenny Yeboah,NYJ,TE,5,2,4,28,14.0,0,20,1,5.6,0,0,20,1
375,James Mitchell,DET,TE,15,2,2,28,14.0,0,24,1,1.9,0,0,12,1
376,Blake Bell,KC,TE,17,5,9,26,5.2,1,8,0,1.5,1,1,19,1
377,DeeJay Dallas,SEA,RB,17,6,9,26,4.3,0,14,0,1.5,0,0,31,1
378,Quintin Morris,BUF,TE,15,2,3,26,13.0,1,15,0,1.7,0,0,5,1
379,Keaontay Ingram,ARI,RB,8,4,4,26,6.5,0,9,0,3.3,0,0,31,1
380,Steven Sims,HOU,WR,3,3,3,25,8.3,0,23,1,8.3,0,0,27,1
381,C.J. Ham,MIN,FB,17,7,9,25,3.6,0,7,0,1.5,0,0,20,1
382,Greg Dulcich,DEN,TE,2,3,4,25,8.3,0,13,0,12.5,0,0,5,2
383,Emanuel Wilson,GB,RB,7,4,5,23,5.8,0,9,0,3.3,0,0,30,1
384,Ronnie Rivers,LAR,RB,9,5,5,22,4.4,0,10,0,2.4,0,0,41,0
385,Nick Muse,MIN,TE,2,1,1,22,22.0,0,22,1,11.0,0,0,10,1
386,Nate Adkins,DEN,TE,10,4,5,22,5.5,0,11,0,2.2,0,0,24,1
387,Eric Gray,NYG,RB,13,6,7,22,3.7,0,9,0,1.7,0,0,40,0
388,Nick Bawden,NYJ,FB,16,3,3,21,7.0,0,8,0,1.3,0,0,22,1
389,Nick Chubb,CLE,RB,2,4,4,21,5.3,0,10,0,10.5,0,0,20,1
390,Trevon Wesco,TEN,TE,15,1,3,21,21.0,0,21,1,1.4,0,0,12,1
391,Ben Sims,GB,TE,17,4,6,21,5.3,1,12,0,1.2,0,0,18,3
392,Velus Jones Jr.,CHI,WR,14,4,7,20,5.0,0,11,0,1.4,0,0,15,1
393,Zach Pascal,ARI,WR,14,4,15,19,4.8,0,9,0,1.4,0,0,12,1
394,Kayshon Boutte,NE,WR,5,2,7,19,9.5,0,11,0,3.8,0,0,10,1
395,Dare Ogunbowale,HOU,RB,12,2,7,18,9.0,0,14,0,1.5,0,0,5,0
396,Devin Duvernay,BAL,WR,13,4,9,18,4.5,0,10,0,1.4,0,0,17,0
397,Hunter Luepke,DAL,RB,17,3,4,18,6.0,0,12,0,1.1,0,0,16,1
398,Brandin Echols,NYJ,CB,14,1,1,18,18.0,0,18,0,1.3,0,0,8,1
399,Miles Boykin,PIT,WR,17,3,4,17,5.7,0,6,0,1.0,0,0,2,0
400,Chris Manhertz,DEN,TE,16,2,4,16,8.0,0,10,0,1.0,0,0,10,1
401,Laquon Treadwell,BAL,WR,5,1,3,16,16.0,0,16,0,3.2,0,0,0,1
402,Damien Harris,BUF,RB,6,2,2,16,8.0,0,13,0,2.7,0,0,16,0
403,J.K. Dobbins,BAL,RB,1,2,3,15,7.5,0,10,0,15.0,0,0,15,0
404,Willie Snead IV,SF,WR,4,2,3,14,7.0,0,9,0,3.5,0,0,3,0
405,Deon Jackson,IND/CLE/NYG,RB,4,5,6,14,2.8,0,8,0,3.5,1,1,20,0
406,Elijah Mitchell,SF,RB,11,6,8,14,2.3,0,9,0,1.3,0,0,26,2
407,Royce Freeman,LAR,RB,14,1,2,13,13.0,0,13,0,0.9,0,0,14,1
408,Alex Armah,WSH,RB,8,3,3,13,4.3,0,10,0,1.6,0,0,27,1
409,Trey Sermon,IND,RB,14,3,6,13,4.3,0,7,0,0.9,0,0,6,0
410,Elijah Dotson,LAC,RB,4,2,2,13,6.5,0,7,0,3.3,0,0,14,0
411,Malik Taylor,NYJ,WR,3,2,4,13,6.5,0,7,0,4.3,0,0,7,0
412,Damien Williams,DAL,RB,3,2,2,12,6.0,0,8,0,4.0,0,0,11,0
413,Eric Saubert,HOU/DAL,TE,10,3,3,12,4.0,0,5,0,1.2,0,0,6,1
414,Jakob Johnson,LV,FB,13,1,2,12,12.0,0,12,0,0.9,0,0,10,0
415,Ross Dwelley,SF,TE,12,1,2,12,12.0,0,12,0,1.0,0,0,12,1
416,Adam Prentice,NO,FB,13,2,3,12,6.0,0,7,0,0.9,0,0,8,0
417,Jake Funk,IND,RB,4,1,1,12,12.0,0,12,0,3.0,0,0,12,1
418,Chris Rodriguez Jr.,WSH,RB,13,2,2,12,6.0,0,7,0,0.9,0,0,19,1
419,Jashaun Corbin,NYG,RB,6,3,3,12,4.0,0,7,0,2.0,0,0,13,1
420,John FitzPatrick,ATL,TE,9,1,1,12,12.0,0,12,0,1.3,0,0,10,1
421,Collin Johnson,CHI,WR,3,1,1,11,11.0,0,11,0,3.7,0,0,4,1
422,Tylan Wallace,BAL,WR,11,1,2,11,11.0,0,11,0,1.0,0,0,0,1
423,Anthony McFarland Jr.,PIT,RB,3,2,2,11,5.5,0,6,0,3.7,0,0,7,1
424,Cody Thompson,SEA,WR,7,1,1,10,10.0,0,10,0,1.4,0,0,4,0
425,Trayveon Williams,CIN,RB,17,7,9,10,1.4,0,5,0,0.6,0,0,35,0
426,Justin Herbert,LAC,QB,13,1,1,10,10.0,0,10,0,0.8,0,0,17,1
427,Trishton Jackson,MIN,WR,7,2,4,9,4.5,0,7,0,1.3,0,0,7,0
428,Tucker Fisk,ATL,TE,6,1,1,9,9.0,0,9,0,1.5,0,0,6,1
429,Simi Fehoko,LAC,WR,6,1,2,9,9.0,1,9,0,1.5,0,0,7,1
430,Sean Tucker,TB,RB,11,2,2,9,4.5,0,6,0,0.8,0,0,12,0
431,Tyler Johnson,LAR,WR,1,2,3,8,4.0,1,8,0,8.0,0,0,1,1
432,Michael Burton,DEN,FB,17,3,3,8,2.7,0,4,0,0.5,0,0,6,2
433,Devine Ozigbo,DET,RB,3,1,1,8,8.0,0,8,0,2.7,0,0,5,0
434,Zonovan Knight,DET,RB,2,1,1,8,8.0,0,8,0,4.0,0,0,13,0
435,Kevin Rader,TEN,TE,14,1,3,6,6.0,0,6,0,0.4,0,0,4,0
436,Mason Kinsey,TEN,WR,6,1,1,6,6.0,0,6,0,1.0,0,0,8,0
437,Malcolm Rodriguez,DET,LB,17,1,1,6,6.0,0,6,0,0.4,0,0,0,1
438,Cole Fotheringham,LV,TE,2,1,1,6,6.0,0,6,0,3.0,0,0,5,0
439,Tank Bigsby,JAX,RB,17,1,4,6,6.0,0,6,0,0.4,0,0,5,0
440,Evan Hull,IND,RB,1,1,1,6,6.0,0,6,0,6.0,0,0,3,0
441,Greg Van Roten,LV,G,17,0,0,5,0.0,0,5,0,0.3,1,1,5,0
442,Rashaad Penny,PHI,RB,3,1,1,5,5.0,0,5,0,1.7,0,0,6,0
443,Dan Skipper,DET,OT,11,1,1,4,4.0,0,4,0,0.4,0,0,5,0
444,Jesper Horsted,LV,TE,13,1,1,4,4.0,0,4,0,0.3,0,0,2,0
445,Sam Howell,WSH,QB,17,1,1,4,4.0,0,4,0,0.2,0,0,3,0
446,Nick Vannett,LAC,TE,8,1,1,3,3.0,0,3,0,0.4,0,0,0,1
447,Reggie Gilliam,BUF,FB,17,1,1,3,3.0,0,3,0,0.2,0,0,2,0
448,Cole Strange,NE,G,10,0,0,3,0.0,0,3,0,0.3,0,0,3,0
449,Colton Dowell,TEN,WR,10,1,2,3,3.0,0,3,0,0.3,0,0,0,0
450,Khari Blasingame,CHI,FB,16,3,6,2,0.7,0,4,0,0.1,0,0,5,0
451,Giovanni Ricci,CAR,FB,5,1,1,2,2.0,0,2,0,0.4,0,0,3,0
452,Ke'Shawn Vaughn,TB,RB,6,2,5,2,1.0,0,3,0,0.3,0,0,1,0
453,Ko Kieft,TB,TE,16,1,5,2,2.0,1,2,0,0.1,0,0,2,1
454,Jeffery Simmons,TEN,DT,12,1,1,2,2.0,1,2,0,0.2,0,0,0,1
455,Kwamie Lassiter II,CIN,WR,1,1,1,2,2.0,0,2,0,2.0,0,0,3,0
456,Antoine Green,DET,WR,9,1,2,2,2.0,0,2,0,0.2,0,0,1,0
457,Ryan Tannehill,TEN,QB,10,0,1,0,0.0,0,0,0,0.0,0,0,0,0
458,Damiere Byrd,ATL,WR,1,0,2,0,0.0,0,0,0,0.0,0,0,0,0
459,Phillip Dorsett,DEN,WR,2,0,3,0,0.0,0,0,0,0.0,0,0,0,0
460,Donovan Smith,KC,OT,12,1,1,0,0.0,0,0,0,0.0,0,0,0,0
461,Jonathan Williams,WSH,RB,1,0,1,0,0.0,0,0,0,0.0,0,0,0,0
462,Trent Taylor,CHI,WR,17,0,2,0,0.0,0,0,0,0.0,0,0,0,0
463,Juwann Winfree,IND,WR,8,0,1,0,0.0,0,0,0,0.0,0,0,0,0
464,James Proche II,CLE,WR,10,0,5,0,0.0,0,0,0,0.0,0,0,0,0
465,JaMycal Hasty,NE/JAX,RB,5,0,2,0,0.0,0,0,0,0.0,0,0,0,0
466,Irvin Charles,NYJ,WR,12,0,1,0,0.0,0,0,0,0.0,0,0,0,0
467,Albert Okwuegbunam Jr.,PHI,TE,4,0,1,0,0.0,0,0,0,0.0,0,0,0,0
468,Sean McKeon,DAL,TE,9,0,2,0,0.0,0,0,0,0.0,0,0,0,0
469,Travis Homer,CHI,RB,16,0,1,0,0.0,0,0,0,0.0,0,0,0,0
470,Dee Eskridge,SEA,WR,4,0,1,0,0.0,0,0,0,0.0,0,0,0,0
471,Ben Bredeson,NYG,G,16,1,1,0,0.0,0,0,0,0.0,0,0,2,0
472,Amari Rodgers,IND,WR,3,0,2,0,0.0,0,0,0,0.0,0,0,0,0
473,Jordan Mims,NO,RB,2,0,2,0,0.0,0,0,0,0.0,0,0,0,0
474,Rodney Williams,PIT,TE,13,0,2,0,0.0,0,0,0,0.0,0,0,0,0
475,Shedrick Jackson,CIN,WR,3,0,1,0,0.0,0,0,0,0.0,0,0,0,0
476,Erik Ezukanma,MIA,WR,2,0,1,0,0.0,0,0,0,0.0,0,0,0,0
477,Gunner Olszewski,PIT/NYG,WR,12,1,1,0,0.0,0,0,0,0.0,1,1,0,0
478,C.J. Stroud,HOU,QB,15,1,1,0,0.0,0,0,0,0.0,0,0,1,0
479,Chris Evans,CIN,RB,8,1,1,-1,-1.0,0,-1,0,-0.1,0,0,0,0
480,Geno Smith,SEA,QB,15,1,1,-2,-2.0,0,-2,0,-0.1,0,0,6,0
481,James Robinson,GB,RB,1,1,1,-2,-2.0,0,-2,0,-2.0,0,0,1,0
482,Robert Hainsey,TB,C,17,0,0,-3,0.0,0,-3,0,-0.2,0,0,-3,0
483,Desmond Ridder,ATL,QB,15,1,1,-6,-6.0,0,-6,0,-0.4,0,0,0,0
484,Jake Browning,CIN,QB,9,1,1,-7,-7.0,0,-7,0,-0.8,0,0,0,0
485,David Wells,TB,TE,5,2,2,-10,-5.0,0,1,0,-2.0,1,0,-11,1
